Zipcode,City,State,Available,ZipType
92563,MURRIETA,CA,STANDARD,1
92564,MURRIETA,CA,STANDARD,1
92567,NUEVO,CA,STANDARD,1
92570,PERRIS,CA,STANDARD,1
92571,PERRIS,CA,STANDARD,1
92572,PERRIS,CA,STANDARD,1
92581,SAN JACINTO,CA,STANDARD,1
92582,SAN JACINTO,CA,STANDARD,1
92583,SAN JACINTO,CA,STANDARD,1
92584,MENIFEE,CA,STANDARD,1
92585,SUN CITY,CA,STANDARD,1
92586,SUN CITY,CA,STANDARD,1
92587,SUN CITY,CA,STANDARD,1
92589,TEMECULA,CA,STANDARD,1
92590,TEMECULA,CA,STANDARD,1
92591,TEMECULA,CA,STANDARD,1
92592,TEMECULA,CA,STANDARD,1
92593,TEMECULA,CA,STANDARD,1
92595,WILDOMAR,CA,STANDARD,1
92596,WINCHESTER,CA,STANDARD,1
92599,PERRIS,CA,UNIQUE,1
92602,IRVINE,CA,STANDARD,1
92603,IRVINE,CA,STANDARD,1
92604,IRVINE,CA,STANDARD,1
92605,HUNTINGTON BEACH,CA,STANDARD,1
92606,IRVINE,CA,STANDARD,1
92607,LAGUNA NIGUEL,CA,STANDARD,1
92609,EL TORO,CA,STANDARD,1
92610,FOOTHILL RANCH,CA,STANDARD,1
92612,IRVINE,CA,STANDARD,1
92614,IRVINE,CA,STANDARD,1
92615,HUNTINGTON BEACH,CA,STANDARD,1
92616,IRVINE,CA,STANDARD,1
92618,IRVINE,CA,STANDARD,1
92619,IRVINE,CA,STANDARD,1
92620,IRVINE,CA,STANDARD,1
92623,IRVINE,CA,STANDARD,1
92624,CAPISTRANO BEACH,CA,STANDARD,1
92625,CORONA DEL MAR,CA,STANDARD,1
92626,COSTA MESA,CA,STANDARD,1
92627,COSTA MESA,CA,STANDARD,1
92628,COSTA MESA,CA,STANDARD,1
92629,DANA POINT,CA,STANDARD,1
92630,LAKE FOREST,CA,STANDARD,1
92637,LAGUNA HILLS,CA,STANDARD,1
92646,HUNTINGTON BEACH,CA,STANDARD,1
92647,HUNTINGTON BEACH,CA,STANDARD,1
92648,HUNTINGTON BEACH,CA,STANDARD,1
92649,HUNTINGTON BEACH,CA,STANDARD,1
92650,EAST IRVINE,CA,STANDARD,1
92651,LAGUNA BEACH,CA,STANDARD,1
92652,LAGUNA BEACH,CA,STANDARD,1
92653,LAGUNA HILLS,CA,STANDARD,1
92654,LAGUNA HILLS,CA,STANDARD,1
92655,MIDWAY CITY,CA,STANDARD,1
92656,ALISO VIEJO,CA,STANDARD,1
92657,NEWPORT COAST,CA,STANDARD,1
92658,NEWPORT BEACH,CA,STANDARD,1
92659,NEWPORT BEACH,CA,STANDARD,1
92660,NEWPORT BEACH,CA,STANDARD,1
92661,NEWPORT BEACH,CA,STANDARD,1
92662,NEWPORT BEACH,CA,STANDARD,1
92663,NEWPORT BEACH,CA,STANDARD,1
92672,SAN CLEMENTE,CA,STANDARD,1
92673,SAN CLEMENTE,CA,STANDARD,1
92674,SAN CLEMENTE,CA,STANDARD,1
92675,SAN JUAN CAPISTRANO,CA,STANDARD,1
92676,SILVERADO,CA,STANDARD,1
92677,LAGUNA NIGUEL,CA,STANDARD,1
92678,TRABUCO CANYON,CA,STANDARD,1
92679,TRABUCO CANYON,CA,STANDARD,1
92683,WESTMINSTER,CA,STANDARD,1
92684,WESTMINSTER,CA,STANDARD,1
92685,WESTMINSTER,CA,STANDARD,1
92688,RANCHO SANTA MARGARITA,CA,STANDARD,1
92690,MISSION VIEJO,CA,STANDARD,1
92691,MISSION VIEJO,CA,STANDARD,1
92692,MISSION VIEJO,CA,STANDARD,1
92693,SAN JUAN CAPISTRANO,CA,STANDARD,1
92694,LADERA RANCH,CA,STANDARD,1
92697,IRVINE,CA,UNIQUE,1
92698,ALISO VIEJO,CA,UNIQUE,1
92701,SANTA ANA,CA,STANDARD,1
92702,SANTA ANA,CA,STANDARD,1
92703,SANTA ANA,CA,STANDARD,1
92704,SANTA ANA,CA,STANDARD,1
92705,SANTA ANA,CA,STANDARD,1
92706,SANTA ANA,CA,STANDARD,1
92707,SANTA ANA,CA,STANDARD,1
92708,FOUNTAIN VALLEY,CA,STANDARD,1
92709,IRVINE,CA,UNIQUE,1
92710,IRVINE,CA,UNIQUE,1
92711,SANTA ANA,CA,STANDARD,1
92712,SANTA ANA,CA,STANDARD,1
92728,FOUNTAIN VALLEY,CA,STANDARD,1
92735,SANTA ANA,CA,STANDARD,1
92780,TUSTIN,CA,STANDARD,1
92781,TUSTIN,CA,STANDARD,1
92782,TUSTIN,CA,STANDARD,1
92799,SANTA ANA,CA,STANDARD,1
92801,ANAHEIM,CA,STANDARD,1
92802,ANAHEIM,CA,STANDARD,1
92803,ANAHEIM,CA,STANDARD,1
92804,ANAHEIM,CA,STANDARD,1
92805,ANAHEIM,CA,STANDARD,1
92806,ANAHEIM,CA,STANDARD,1
92807,ANAHEIM,CA,STANDARD,1
92808,ANAHEIM,CA,STANDARD,1
92809,ANAHEIM,CA,STANDARD,1
92811,ATWOOD,CA,PO BOX ONLY,1
92812,ANAHEIM,CA,STANDARD,1
92814,ANAHEIM,CA,STANDARD,1
92815,ANAHEIM,CA,STANDARD,1
92816,ANAHEIM,CA,STANDARD,1
92817,ANAHEIM,CA,STANDARD,1
92821,BREA,CA,STANDARD,1
92822,BREA,CA,STANDARD,1
92823,BREA,CA,STANDARD,1
92825,ANAHEIM,CA,STANDARD,1
92831,FULLERTON,CA,STANDARD,1
92832,FULLERTON,CA,STANDARD,1
92833,FULLERTON,CA,STANDARD,1
92834,FULLERTON,CA,STANDARD,1
92835,FULLERTON,CA,STANDARD,1
92836,FULLERTON,CA,STANDARD,1
92837,FULLERTON,CA,STANDARD,1
92838,FULLERTON,CA,STANDARD,1
92840,GARDEN GROVE,CA,STANDARD,1
92841,GARDEN GROVE,CA,STANDARD,1
92842,GARDEN GROVE,CA,STANDARD,1
92843,GARDEN GROVE,CA,STANDARD,1
92844,GARDEN GROVE,CA,STANDARD,1
92845,GARDEN GROVE,CA,STANDARD,1
92846,GARDEN GROVE,CA,STANDARD,1
92850,ANAHEIM,CA,UNIQUE,1
92856,ORANGE,CA,STANDARD,1
92857,ORANGE,CA,STANDARD,1
92859,ORANGE,CA,STANDARD,1
92860,NORCO,CA,STANDARD,1
92861,VILLA PARK,CA,STANDARD,1
92862,ORANGE,CA,STANDARD,1
92863,ORANGE,CA,STANDARD,1
92864,ORANGE,CA,STANDARD,1
92865,ORANGE,CA,STANDARD,1
92866,ORANGE,CA,STANDARD,1
92867,ORANGE,CA,STANDARD,1
92868,ORANGE,CA,STANDARD,1
92869,ORANGE,CA,STANDARD,1
92870,PLACENTIA,CA,STANDARD,1
92871,PLACENTIA,CA,STANDARD,1
92877,CORONA,CA,STANDARD,1
92878,CORONA,CA,STANDARD,1
92879,CORONA,CA,STANDARD,1
92880,CORONA,CA,STANDARD,1
92881,CORONA,CA,STANDARD,1
92882,CORONA,CA,STANDARD,1
92883,CORONA,CA,STANDARD,1
92885,YORBA LINDA,CA,STANDARD,1
92886,YORBA LINDA,CA,STANDARD,1
92887,YORBA LINDA,CA,STANDARD,1
92899,ANAHEIM,CA,STANDARD,1
